model,token,n_window,format,majority_pct,source_tag,n_scenarios,total_simulations,mean_correct_rate_percent,mean_convergence_rate_percent,mean_wrong_consensus_rate_percent,mean_no_convergence_rate_percent,mean_rounds_when_correct
Gemma 27B,yesno,9,only_token,55,A100,4,200,50.0,100.0,50.0,0.0,5.62
Gemma 27B,yesno,9,only_token,60,A100,4,200,50.0,100.0,50.0,0.0,4.51
Gemma 27B,yesno,9,only_token,65,A100,4,200,50.0,100.0,50.0,0.0,3.35
Gemma 27B,yesno,9,only_token,70,A100,4,200,50.0,97.5,47.5,2.5,2.51
Gemma 27B,yesno,11,com_cot,51,A100,4,200,50.0,100.0,50.0,0.0,21.47
Gemma 27B,yesno,11,com_cot,55,A100,4,200,51.5,100.0,48.5,0.0,15.670911680911681
Gemma 27B,yesno,11,com_cot,60,A100,4,200,59.0,100.0,41.0,0.0,10.236419413919414
Gemma 27B,yesno,11,com_cot,65,A100,4,200,74.0,99.5,25.5,0.5,5.24458628939119
Gemma 27B,yesno,11,com_cot,70,A100,4,200,87.0,100.0,13.0,0.0,3.0265669856459327
Gemma 27B,yesno,11,only_token,51,A100,4,200,18.0,27.5,9.5,72.5,6.518382352941177
Gemma 27B,yesno,11,only_token,55,A100,4,200,30.0,36.0,6.0,64.0,4.94976076555024
Gemma 27B,yesno,11,only_token,60,A100,4,200,38.5,41.0,2.5,59.0,3.9660137559808613
Gemma 27B,yesno,11,only_token,65,A100,4,200,44.0,44.0,0.0,56.0,2.9187499999999997
Gemma 27B,yesno,11,only_token,70,A100,4,200,47.5,47.5,0.0,52.5,2.2280357142857143
Gemma 27B,łþ,7,com_cot,51,A100,4,200,0.0,0.0,0.0,100.0,
Gemma 27B,łþ,7,com_cot,55,A100,4,200,0.5,0.5,0.0,99.5,3.0
Gemma 27B,łþ,7,com_cot,60,A100,4,200,2.0,2.0,0.0,98.0,2.5
Gemma 27B,łþ,7,com_cot,65,A100,4,200,14.0,14.0,0.0,86.0,2.5634920634920633
Gemma 27B,łþ,7,com_cot,70,A100,4,200,31.0,31.0,0.0,69.0,2.622805642633229
Gemma 27B,łþ,7,only_token,51,A100,4,200,0.5,0.5,0.0,99.5,3.0
Gemma 27B,łþ,7,only_token,55,A100,4,200,1.0,1.0,0.0,99.0,2.0
Gemma 27B,łþ,7,only_token,60,A100,4,200,2.0,2.0,0.0,98.0,2.0
Gemma 27B,łþ,7,only_token,65,A100,4,200,12.5,12.5,0.0,87.5,2.238562091503268
Gemma 27B,łþ,7,only_token,70,A100,4,200,24.0,24.0,0.0,76.0,1.9900793650793651
Gemma 27B,łþ,9,com_cot,51,A100,4,200,0.5,0.5,0.0,99.5,4.0
Gemma 27B,łþ,9,com_cot,55,A100,4,200,2.5,2.5,0.0,97.5,3.2
Gemma 27B,łþ,9,com_cot,60,A100,4,200,9.0,9.0,0.0,91.0,3.03125
Gemma 27B,łþ,9,com_cot,65,A100,4,200,28.5,28.5,0.0,71.5,2.6560224089635853
Gemma 27B,łþ,9,com_cot,70,A100,4,200,54.5,54.5,0.0,45.5,2.4351382488479265
Gemma 27B,łþ,9,only_token,51,A100,4,200,0.0,0.0,0.0,100.0,
Gemma 27B,łþ,9,only_token,55,A100,4,200,0.5,0.5,0.0,99.5,1.0
Gemma 27B,łþ,9,only_token,60,A100,4,200,4.5,4.5,0.0,95.5,2.5
Gemma 27B,łþ,9,only_token,65,A100,4,200,23.5,23.5,0.0,76.5,2.533333333333333
Gemma 27B,łþ,9,only_token,70,A100,4,200,37.0,37.0,0.0,63.0,2.1780303030303028
Gemma 27B,łþ,11,com_cot,51,A100,4,200,52.0,100.0,48.0,0.0,23.641379310344828
Gemma 27B,łþ,11,com_cot,55,A100,4,200,56.0,100.0,44.0,0.0,17.219019607843137
Gemma 27B,łþ,11,com_cot,60,A100,4,200,62.5,100.0,37.5,0.0,9.712783060592658
Gemma 27B,łþ,11,com_cot,65,A100,4,200,79.5,100.0,20.5,0.0,5.372023809523809
Gemma 27B,łþ,11,com_cot,70,A100,4,200,90.0,100.0,10.0,0.0,3.216421452301851
Gemma 27B,łþ,11,only_token,51,A100,4,200,1.0,1.0,0.0,99.0,3.0
Gemma 27B,łþ,11,only_token,55,A100,4,200,1.5,1.5,0.0,98.5,2.3333333333333335
Gemma 27B,łþ,11,only_token,60,A100,4,200,8.5,8.5,0.0,91.5,2.6666666666666665
Gemma 27B,łþ,11,only_token,65,A100,4,200,30.5,30.5,0.0,69.5,2.279279279279279
Gemma 27B,łþ,11,only_token,70,A100,4,200,51.5,51.5,0.0,48.5,1.9705870279146143
Gemma 27B,αβ,7,com_cot,51,A100,4,200,0.0,0.0,0.0,100.0,
Gemma 27B,αβ,7,com_cot,55,A100,4,200,0.5,0.5,0.0,99.5,3.0
Gemma 27B,αβ,7,com_cot,60,A100,4,200,3.0,3.0,0.0,97.0,2.6666666666666665
Gemma 27B,αβ,7,com_cot,65,A100,4,200,16.5,16.5,0.0,83.5,2.3497474747474745
Gemma 27B,αβ,7,com_cot,70,A100,4,200,33.0,33.0,0.0,67.0,2.538586956521739
Gemma 27B,αβ,7,only_token,51,A100,4,200,0.5,0.5,0.0,99.5,3.0
Gemma 27B,αβ,7,only_token,55,A100,4,200,1.0,1.0,0.0,99.0,2.0
Gemma 27B,αβ,7,only_token,60,A100,4,200,2.5,2.5,0.0,97.5,3.625
Gemma 27B,αβ,7,only_token,65,A100,4,200,11.0,11.0,0.0,89.0,2.5
Gemma 27B,αβ,7,only_token,70,A100,4,200,23.0,23.0,0.0,77.0,2.15625
Gemma 27B,αβ,9,com_cot,51,A100,4,200,50.0,100.0,50.0,0.0,17.67
Gemma 27B,αβ,9,com_cot,55,A100,4,200,51.0,100.0,49.0,0.0,12.726666666666667
Gemma 27B,αβ,9,com_cot,60,A100,4,200,52.5,100.0,47.5,0.0,8.81523872679045
Gemma 27B,αβ,9,com_cot,65,A100,4,200,59.5,98.0,38.5,2.0,5.193864087301587
Gemma 27B,αβ,9,com_cot,70,A100,4,200,70.0,97.0,27.0,3.0,3.2603398853398855
Gemma 27B,αβ,9,only_token,51,A100,4,200,0.0,0.0,0.0,100.0,
Gemma 27B,αβ,9,only_token,55,A100,4,200,0.5,0.5,0.0,99.5,2.0
Gemma 27B,αβ,9,only_token,60,A100,4,200,3.0,3.0,0.0,97.0,2.25
Gemma 27B,αβ,9,only_token,65,A100,4,200,16.0,16.0,0.0,84.0,2.161111111111111
Gemma 27B,αβ,9,only_token,70,A100,4,200,29.5,29.5,0.0,70.5,2.0821428571428573
Gemma 27B,αβ,11,com_cot,51,A100,4,200,2.5,2.5,0.0,97.5,3.0
Gemma 27B,αβ,11,com_cot,55,A100,4,200,6.0,6.0,0.0,94.0,3.35
Gemma 27B,αβ,11,com_cot,60,A100,4,200,17.5,17.5,0.0,82.5,2.763888888888889
Gemma 27B,αβ,11,com_cot,65,A100,4,200,47.5,47.5,0.0,52.5,2.4959893048128343
Gemma 27B,αβ,11,com_cot,70,A100,4,200,75.0,75.0,0.0,25.0,2.2730980165405104
Gemma 27B,αβ,11,only_token,51,A100,4,200,0.5,0.5,0.0,99.5,3.0
Gemma 27B,αβ,11,only_token,55,A100,4,200,2.0,2.0,0.0,98.0,2.75
Gemma 27B,αβ,11,only_token,60,A100,4,200,8.0,8.0,0.0,92.0,2.6818181818181817
Gemma 27B,αβ,11,only_token,65,A100,4,200,30.0,30.0,0.0,70.0,2.598015873015873
Gemma 27B,αβ,11,only_token,70,A100,4,200,49.0,49.0,0.0,51.0,2.1037484876969366
Gemma 27B,⊕⊖,7,com_cot,51,A100,4,200,0.0,0.0,0.0,100.0,
Gemma 27B,⊕⊖,7,com_cot,55,A100,4,200,1.0,1.0,0.0,99.0,3.0
Gemma 27B,⊕⊖,7,com_cot,60,A100,4,200,2.5,2.5,0.0,97.5,2.6
Gemma 27B,⊕⊖,7,com_cot,65,A100,4,200,18.0,18.0,0.0,82.0,2.611111111111111
Gemma 27B,⊕⊖,7,com_cot,70,A100,4,200,33.5,33.5,0.0,66.5,2.3957749766573295
Gemma 27B,⊕⊖,7,only_token,51,A100,4,200,50.0,100.0,50.0,0.0,4.890000000000001
Gemma 27B,⊕⊖,7,only_token,55,A100,4,200,50.0,100.0,50.0,0.0,4.17
Gemma 27B,⊕⊖,7,only_token,60,A100,4,200,50.0,100.0,50.0,0.0,3.4899999999999998
Gemma 27B,⊕⊖,7,only_token,65,A100,4,200,50.0,100.0,50.0,0.0,2.57
Gemma 27B,⊕⊖,7,only_token,70,A100,4,200,50.0,100.0,50.0,0.0,2.06
Gemma 27B,⊕⊖,9,com_cot,51,A100,4,200,51.5,100.0,48.5,0.0,22.624285714285712
Gemma 27B,⊕⊖,9,com_cot,55,A100,4,200,52.0,100.0,48.0,0.0,17.110344827586207
Gemma 27B,⊕⊖,9,com_cot,60,A100,4,200,57.0,100.0,43.0,0.0,11.097142857142858
Gemma 27B,⊕⊖,9,com_cot,65,A100,4,200,70.0,100.0,30.0,0.0,6.572788231505337
Gemma 27B,⊕⊖,9,com_cot,70,A100,4,200,82.5,100.0,17.5,0.0,3.827328445052185
Gemma 27B,⊕⊖,9,only_token,51,A100,4,200,50.0,100.0,50.0,0.0,5.96
Gemma 27B,⊕⊖,9,only_token,55,A100,4,200,50.0,100.0,50.0,0.0,4.5600000000000005
Gemma 27B,⊕⊖,9,only_token,60,A100,4,200,50.0,100.0,50.0,0.0,3.48
Gemma 27B,⊕⊖,9,only_token,65,A100,4,200,50.0,100.0,50.0,0.0,2.34
Gemma 27B,⊕⊖,9,only_token,70,A100,4,200,50.5,100.0,49.5,0.0,1.8157692307692308
Gemma 27B,⊕⊖,11,com_cot,51,A100,4,200,54.0,100.0,46.0,0.0,29.143333333333334
Gemma 27B,⊕⊖,11,com_cot,55,A100,4,200,59.5,100.0,40.5,0.0,21.186043956043957
Gemma 27B,⊕⊖,11,com_cot,60,A100,4,200,71.5,100.0,28.5,0.0,12.561718497141008
Gemma 27B,⊕⊖,11,com_cot,65,A100,4,200,91.5,100.0,8.5,0.0,6.073115942028986
Gemma 27B,⊕⊖,11,com_cot,70,A100,4,200,97.0,100.0,3.0,0.0,3.8245833333333334
Gemma 27B,⊕⊖,11,only_token,51,A100,4,200,50.0,100.0,50.0,0.0,6.6
Gemma 27B,⊕⊖,11,only_token,55,A100,4,200,50.0,100.0,50.0,0.0,4.88
Gemma 27B,⊕⊖,11,only_token,60,A100,4,200,50.0,100.0,50.0,0.0,3.51
Gemma 27B,⊕⊖,11,only_token,65,A100,4,200,51.0,99.5,48.5,0.5,2.3414814814814813
Gemma 27B,⊕⊖,11,only_token,70,A100,4,200,53.5,99.5,46.0,0.5,1.98
Gemma 27B,△○,7,com_cot,51,A100,4,200,0.0,0.0,0.0,100.0,
Gemma 27B,△○,7,com_cot,55,A100,4,200,0.5,0.5,0.0,99.5,3.0
Gemma 27B,△○,7,com_cot,60,A100,4,200,3.0,3.0,0.0,97.0,2.6666666666666665
Gemma 27B,△○,7,com_cot,65,A100,4,200,16.5,16.5,0.0,83.5,2.3497474747474745
Gemma 27B,△○,7,com_cot,70,A100,4,200,33.0,33.0,0.0,67.0,2.538586956521739
Gemma 27B,△○,7,only_token,51,A100,4,200,2.0,2.0,0.0,98.0,2.75
Gemma 27B,△○,7,only_token,55,A100,4,200,3.0,3.0,0.0,97.0,2.1
Gemma 27B,△○,7,only_token,60,A100,4,200,6.0,6.0,0.0,94.0,2.4523809523809526
Gemma 27B,△○,7,only_token,65,A100,4,200,17.5,17.5,0.0,82.5,2.125
Gemma 27B,△○,7,only_token,70,A100,4,200,28.5,28.5,0.0,71.5,1.96164994425864
Gemma 27B,△○,9,com_cot,51,A100,4,200,0.0,0.0,0.0,100.0,
Gemma 27B,△○,9,com_cot,55,A100,4,200,2.0,2.0,0.0,98.0,2.5
Gemma 27B,△○,9,com_cot,60,A100,4,200,8.0,8.0,0.0,92.0,2.6538461538461537
Gemma 27B,△○,9,com_cot,65,A100,4,200,33.5,33.5,0.0,66.5,2.4208945787893157
Gemma 27B,△○,9,com_cot,70,A100,4,200,59.0,59.0,0.0,41.0,2.1034564393939394
Gemma 27B,△○,9,only_token,51,A100,4,200,50.0,100.0,50.0,0.0,9.79
Gemma 27B,△○,9,only_token,55,A100,4,200,50.0,100.0,50.0,0.0,7.27
Gemma 27B,△○,9,only_token,60,A100,4,200,50.0,100.0,50.0,0.0,5.08
Gemma 27B,△○,9,only_token,65,A100,4,200,51.0,98.0,47.0,2.0,3.2977777777777777
Gemma 27B,△○,9,only_token,70,A100,4,200,52.0,95.5,43.5,4.5,2.419655172413793
