model,token,n_window,format,majority_pct,source_tag,n_scenarios,total_simulations,mean_correct_rate_percent,mean_convergence_rate_percent,mean_wrong_consensus_rate_percent,mean_no_convergence_rate_percent,mean_rounds_when_correct
Gemma 27B,pq,7,only_token,55,srv54_parallel_20260313,4,200,1.0,1.0,0.0,99.0,2.0
Gemma 27B,pq,7,only_token,60,srv54_parallel_20260313,4,200,2.5,2.5,0.0,97.5,2.375
Gemma 27B,pq,7,only_token,65,srv54_parallel_20260313,4,200,12.5,12.5,0.0,87.5,2.0555555555555554
Gemma 27B,pq,7,only_token,70,srv54_parallel_20260313,4,200,24.0,24.0,0.0,76.0,1.917124542124542
Gemma 27B,pq,9,com_cot,51,srv54_parallel_20260313,4,200,1.0,1.0,0.0,99.0,2.5
Gemma 27B,pq,9,com_cot,55,srv54_parallel_20260313,4,200,1.5,1.5,0.0,98.5,2.3333333333333335
Gemma 27B,pq,9,com_cot,60,srv54_parallel_20260313,4,200,5.0,5.0,0.0,95.0,2.9375
Gemma 27B,pq,9,com_cot,65,srv54_parallel_20260313,4,200,28.5,28.5,0.0,71.5,2.265625
Gemma 27B,pq,9,com_cot,70,srv54_parallel_20260313,4,200,49.5,49.5,0.0,50.5,2.2137297774492897
Gemma 27B,pq,9,only_token,51,srv54_parallel_20260313,4,200,1.5,1.5,0.0,98.5,3.3333333333333335
Gemma 27B,pq,9,only_token,55,srv54_parallel_20260313,4,200,3.0,3.0,0.0,97.0,2.9
Gemma 27B,pq,9,only_token,60,srv54_parallel_20260313,4,200,6.5,6.5,0.0,93.5,3.1481481481481484
Gemma 27B,pq,9,only_token,65,srv54_parallel_20260313,4,200,20.5,20.5,0.0,79.5,2.5106060606060603
Gemma 27B,pq,9,only_token,70,srv54_parallel_20260313,4,200,34.5,34.5,0.0,65.5,2.0895929339477726
Gemma 27B,pq,11,com_cot,51,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,13.71
Gemma 27B,pq,11,com_cot,55,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,9.37
Gemma 27B,pq,11,com_cot,60,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,6.1
Gemma 27B,pq,11,com_cot,65,srv54_parallel_20260313,4,200,61.0,100.0,39.0,0.0,3.080740418118467
Gemma 27B,pq,11,com_cot,70,srv54_parallel_20260313,4,200,71.0,100.0,29.0,0.0,2.3705892589419575
Gemma 27B,pq,11,only_token,51,srv54_parallel_20260313,4,200,2.0,2.0,0.0,98.0,2.5
Gemma 27B,pq,11,only_token,55,srv54_parallel_20260313,4,200,4.5,4.5,0.0,95.5,2.7777777777777777
Gemma 27B,pq,11,only_token,60,srv54_parallel_20260313,4,200,13.0,13.0,0.0,87.0,2.4136752136752135
Gemma 27B,pq,11,only_token,65,srv54_parallel_20260313,4,200,34.5,34.5,0.0,65.5,2.32914673046252
Gemma 27B,pq,11,only_token,70,srv54_parallel_20260313,4,200,51.0,51.0,0.0,49.0,1.9859788359788362
Gemma 27B,yesno,7,com_cot,51,srv54_parallel_20260313,4,200,0.0,0.0,0.0,100.0,
Gemma 27B,yesno,7,com_cot,55,srv54_parallel_20260313,4,200,1.0,1.0,0.0,99.0,2.5
Gemma 27B,yesno,7,com_cot,60,srv54_parallel_20260313,4,200,2.0,2.0,0.0,98.0,3.0
Gemma 27B,yesno,7,com_cot,65,srv54_parallel_20260313,4,200,13.5,13.5,0.0,86.5,2.5714285714285716
Gemma 27B,yesno,7,com_cot,70,srv54_parallel_20260313,4,200,27.0,27.0,0.0,73.0,2.7227969348659005
Gemma 27B,yesno,7,only_token,51,srv54_parallel_20260313,4,200,3.5,6.0,2.5,94.0,2.333333333333333
Gemma 27B,yesno,7,only_token,55,srv54_parallel_20260313,4,200,3.5,3.5,0.0,96.5,2.166666666666667
Gemma 27B,yesno,7,only_token,60,srv54_parallel_20260313,4,200,10.0,10.0,0.0,90.0,2.2521367521367526
Gemma 27B,yesno,7,only_token,65,srv54_parallel_20260313,4,200,19.5,19.5,0.0,80.5,1.9795634920634921
Gemma 27B,yesno,7,only_token,70,srv54_parallel_20260313,4,200,30.5,30.5,0.0,69.5,1.8207148888263438
Gemma 27B,yesno,9,com_cot,51,srv54_parallel_20260313,4,200,0.0,0.0,0.0,100.0,
Gemma 27B,yesno,9,com_cot,55,srv54_parallel_20260313,4,200,1.5,1.5,0.0,98.5,2.3333333333333335
Gemma 27B,yesno,9,com_cot,60,srv54_parallel_20260313,4,200,5.5,5.5,0.0,94.5,2.416666666666667
Gemma 27B,yesno,9,com_cot,65,srv54_parallel_20260313,4,200,31.0,31.0,0.0,69.0,2.356359649122807
Gemma 27B,yesno,9,com_cot,70,srv54_parallel_20260313,4,200,55.0,55.0,0.0,45.0,2.340435606060606
Gemma 27B,yesno,9,only_token,51,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,7.84
Gemma 27B,yesno,9,only_token,55,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,5.76
Gemma 27B,yesno,9,only_token,60,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,4.47
Gemma 27B,yesno,9,only_token,65,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,3.39
Gemma 27B,yesno,9,only_token,70,srv54_parallel_20260313,4,200,50.0,98.0,48.0,2.0,2.4
Gemma 27B,yesno,11,com_cot,51,srv54_parallel_20260313,4,200,50.5,100.0,49.5,0.0,18.5
Gemma 27B,yesno,11,com_cot,55,srv54_parallel_20260313,4,200,52.0,100.0,48.0,0.0,12.868620689655174
Gemma 27B,yesno,11,com_cot,60,srv54_parallel_20260313,4,200,55.0,100.0,45.0,0.0,8.221818181818183
Gemma 27B,yesno,11,com_cot,65,srv54_parallel_20260313,4,200,67.5,100.0,32.5,0.0,4.602919399721725
Gemma 27B,yesno,11,com_cot,70,srv54_parallel_20260313,4,200,80.0,100.0,20.0,0.0,2.772310871921666
Gemma 27B,yesno,11,only_token,51,srv54_parallel_20260313,4,200,18.0,28.0,10.0,72.0,5.617424242424242
Gemma 27B,yesno,11,only_token,55,srv54_parallel_20260313,4,200,29.5,35.0,5.5,65.0,4.590058479532163
Gemma 27B,yesno,11,only_token,60,srv54_parallel_20260313,4,200,38.5,40.5,2.0,59.5,3.818560606060606
Gemma 27B,yesno,11,only_token,65,srv54_parallel_20260313,4,200,44.5,45.0,0.5,55.0,2.838690476190476
Gemma 27B,yesno,11,only_token,70,srv54_parallel_20260313,4,200,47.5,47.5,0.0,52.5,2.1604166666666664
Gemma 27B,łþ,7,com_cot,51,srv54_parallel_20260313,4,200,0.0,0.0,0.0,100.0,
Gemma 27B,łþ,7,com_cot,55,srv54_parallel_20260313,4,200,0.5,0.5,0.0,99.5,2.0
Gemma 27B,łþ,7,com_cot,60,srv54_parallel_20260313,4,200,2.0,2.0,0.0,98.0,2.75
Gemma 27B,łþ,7,com_cot,65,srv54_parallel_20260313,4,200,13.0,13.0,0.0,87.0,2.75
Gemma 27B,łþ,7,com_cot,70,srv54_parallel_20260313,4,200,29.0,29.0,0.0,71.0,2.5384150030248036
Gemma 27B,łþ,7,only_token,51,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,13.06
Gemma 27B,łþ,7,only_token,55,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,10.61
Gemma 27B,łþ,7,only_token,60,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,7.49
Gemma 27B,łþ,7,only_token,65,srv54_parallel_20260313,4,200,53.0,100.0,47.0,0.0,5.086129032258064
Gemma 27B,łþ,7,only_token,70,srv54_parallel_20260313,4,200,56.0,100.0,44.0,0.0,3.7632275132275135
Gemma 27B,łþ,9,com_cot,51,srv54_parallel_20260313,4,200,1.0,1.0,0.0,99.0,4.5
Gemma 27B,łþ,9,com_cot,55,srv54_parallel_20260313,4,200,2.0,2.0,0.0,98.0,3.0
Gemma 27B,łþ,9,com_cot,60,srv54_parallel_20260313,4,200,13.0,13.0,0.0,87.0,3.8407407407407406
Gemma 27B,łþ,9,com_cot,65,srv54_parallel_20260313,4,200,34.0,34.0,0.0,66.0,2.7320906432748537
Gemma 27B,łþ,9,com_cot,70,srv54_parallel_20260313,4,200,58.5,58.5,0.0,41.5,2.652908401732786
Gemma 27B,łþ,9,only_token,51,srv54_parallel_20260313,4,200,1.0,1.0,0.0,99.0,3.0
Gemma 27B,łþ,9,only_token,55,srv54_parallel_20260313,4,200,2.5,2.5,0.0,97.5,3.0
Gemma 27B,łþ,9,only_token,60,srv54_parallel_20260313,4,200,7.0,7.0,0.0,93.0,2.3
Gemma 27B,łþ,9,only_token,65,srv54_parallel_20260313,4,200,24.0,24.0,0.0,76.0,2.2472527472527473
Gemma 27B,łþ,9,only_token,70,srv54_parallel_20260313,4,200,36.5,36.5,0.0,63.5,1.9600935828877006
Gemma 27B,łþ,11,com_cot,51,srv54_parallel_20260313,4,200,3.5000000000000004,3.5000000000000004,0.0,96.5,4.0
Gemma 27B,łþ,11,com_cot,55,srv54_parallel_20260313,4,200,11.5,11.5,0.0,88.5,4.892857142857142
Gemma 27B,łþ,11,com_cot,60,srv54_parallel_20260313,4,200,24.0,24.0,0.0,76.0,4.306451612903226
Gemma 27B,łþ,11,com_cot,65,srv54_parallel_20260313,4,200,59.0,59.0,0.0,41.0,3.3218005952380953
Gemma 27B,łþ,11,com_cot,70,srv54_parallel_20260313,4,200,82.0,82.0,0.0,18.0,2.6104218657159834
Gemma 27B,łþ,11,only_token,51,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,14.690000000000001
