model,token,n_window,format,source_tag,n_agents,majority_pct,num_simulations,correct_rate_percent,convergence_rate_percent,wrong_consensus_rate_percent,no_convergence_rate_percent,mean_rounds_when_correct
Gemma 27B,ab,7,only_token,srv54_parallel_20260313,30,55,50,4.0,4.0,0.0,96.0,2.0
Gemma 27B,ab,7,only_token,srv54_parallel_20260313,60,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,7,only_token,srv54_parallel_20260313,90,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,7,only_token,srv54_parallel_20260313,120,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,7,only_token,srv54_parallel_20260313,30,60,50,8.0,8.0,0.0,92.0,2.5
Gemma 27B,ab,7,only_token,srv54_parallel_20260313,60,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,7,only_token,srv54_parallel_20260313,90,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,7,only_token,srv54_parallel_20260313,120,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,7,only_token,srv54_parallel_20260313,30,65,50,38.0,38.0,0.0,62.0,2.3684210526315788
Gemma 27B,ab,7,only_token,srv54_parallel_20260313,60,65,50,14.000000000000002,14.000000000000002,0.0,86.0,2.857142857142857
Gemma 27B,ab,7,only_token,srv54_parallel_20260313,90,65,50,4.0,4.0,0.0,96.0,3.0
Gemma 27B,ab,7,only_token,srv54_parallel_20260313,120,65,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,7,only_token,srv54_parallel_20260313,30,70,50,60.0,60.0,0.0,40.0,1.9333333333333333
Gemma 27B,ab,7,only_token,srv54_parallel_20260313,60,70,50,32.0,32.0,0.0,68.0,2.4375
Gemma 27B,ab,7,only_token,srv54_parallel_20260313,90,70,50,10.0,10.0,0.0,90.0,2.4
Gemma 27B,ab,7,only_token,srv54_parallel_20260313,120,70,50,2.0,2.0,0.0,98.0,2.0
Gemma 27B,ab,9,com_cot,srv54_parallel_20260313,30,51,50,50.0,100.0,50.0,0.0,5.8
Gemma 27B,ab,9,com_cot,srv54_parallel_20260313,60,51,50,50.0,100.0,50.0,0.0,11.56
Gemma 27B,ab,9,com_cot,srv54_parallel_20260313,90,51,50,50.0,100.0,50.0,0.0,12.44
Gemma 27B,ab,9,com_cot,srv54_parallel_20260313,120,51,50,50.0,100.0,50.0,0.0,15.32
Gemma 27B,ab,9,com_cot,srv54_parallel_20260313,30,55,50,50.0,100.0,50.0,0.0,4.52
Gemma 27B,ab,9,com_cot,srv54_parallel_20260313,60,55,50,50.0,100.0,50.0,0.0,8.36
Gemma 27B,ab,9,com_cot,srv54_parallel_20260313,90,55,50,50.0,100.0,50.0,0.0,8.4
Gemma 27B,ab,9,com_cot,srv54_parallel_20260313,120,55,50,50.0,100.0,50.0,0.0,13.44
Gemma 27B,ab,9,com_cot,srv54_parallel_20260313,30,60,50,50.0,100.0,50.0,0.0,3.76
Gemma 27B,ab,9,com_cot,srv54_parallel_20260313,60,60,50,50.0,100.0,50.0,0.0,4.8
Gemma 27B,ab,9,com_cot,srv54_parallel_20260313,90,60,50,50.0,100.0,50.0,0.0,5.88
Gemma 27B,ab,9,com_cot,srv54_parallel_20260313,120,60,50,50.0,100.0,50.0,0.0,9.76
Gemma 27B,ab,9,com_cot,srv54_parallel_20260313,30,65,50,62.0,100.0,38.0,0.0,2.5161290322580645
Gemma 27B,ab,9,com_cot,srv54_parallel_20260313,60,65,50,50.0,100.0,50.0,0.0,3.24
Gemma 27B,ab,9,com_cot,srv54_parallel_20260313,90,65,50,50.0,100.0,50.0,0.0,4.04
Gemma 27B,ab,9,com_cot,srv54_parallel_20260313,120,65,50,50.0,100.0,50.0,0.0,5.12
Gemma 27B,ab,9,com_cot,srv54_parallel_20260313,30,70,50,72.0,100.0,28.000000000000004,0.0,2.1944444444444446
Gemma 27B,ab,9,com_cot,srv54_parallel_20260313,60,70,50,54.0,100.0,46.0,0.0,2.2962962962962963
Gemma 27B,ab,9,com_cot,srv54_parallel_20260313,90,70,50,50.0,100.0,50.0,0.0,3.24
Gemma 27B,ab,9,com_cot,srv54_parallel_20260313,120,70,50,50.0,100.0,50.0,0.0,3.52
Gemma 27B,ab,9,only_token,srv54_parallel_20260313,30,51,50,4.0,4.0,0.0,96.0,4.5
Gemma 27B,ab,9,only_token,srv54_parallel_20260313,60,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,9,only_token,srv54_parallel_20260313,90,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,9,only_token,srv54_parallel_20260313,120,51,50,0.0,0.0,0.0,100.0,
